Id,Nome,Categoria,Link,Persone/Pezzi,Ingredienti,Steps
32,Pastiera napoletana,Dolci,https://ricette.giallozafferano.it/Pastiera-napoletana.html,8,"[['Farina 00', '250g'], ['Strutto', '50g'], ['Burro', '50g'], ['Zucchero', '80g'], ['Miele millefiori', '20g'], ['Uova', '60g'], ['Latte intero', '40g'], ['Scorza di limone', '½'], [""Scorza d'arancia"", '½'], ['Sale fino', '1pizzico'], ['Grano cotto', '200g'], ['Latte intero', '80g'], ['Burro', '25g'], ['Scorza di limone', 'q.b.'], [""Scorza d'arancia"", 'q.b.'], ['Sale fino', '1pizzico'], ['Ricotta di pecora', '200g'], ['Zucchero', '180g'], ['Cedro candito', '50g'], ['Miele millefiori', '20g'], ['Uova', '2'], ['Tuorli', '1'], [""Acqua di fiori d'arancio"", 'q.b.'], ['Latte intero', '20g'], [""Scorza d'arancia"", 'q.b.'], ['Scorza di limone', 'q.b.'], ['Zucchero a velo', 'q.b.']]","Per preparare la pastiera cominciate dalla frolla. Sul piano di lavoro setacciate la farina unite un pizzico di sale Formate una fontata, tanto da vedere il piano di lavoro al centro Al centro aggiungete il burro, lo strutto Lavorate a mano i grassi e lo zucchero per farli assorbire Continuando a mescolare unite il miele poi l’uovo e il latte Poi grattugiate la scorza di arancia e di limone Continuate a lavorare gli ingredienti al centro otterrete una sorta di pastella morbida Iniziate quindi a prendere pian piano la farina Dovrete ottenere un panetto per renderlo più omogeneo potete spolverizzare leggermente il piano di lavoro con un po' di farina. Quindi lavorate ancora brevemente il panetto formato per renderlo completamente liscio e omogeneo Coprite con pellicola e fate riposare in frigo per 1 ora Passate alla cottura del grano. In un pentolino versate il grano precotto, aggiungete un pizzico di sale Schiacciate un po’ il grano per renderlo uniforme e bagnate con il latte Unite il burro Potete unire un pezzetto di scorza di arancia e di limone Portate a sfiorare il bollore, ci vorranno pochi minuti: aiutatevi con una forchetta a schiacciare il grano mentre cuoce  e mescolate sempre Una volta portato a sfiorare il bollore, spegnete e trasferite in una pirofila bassa e larga In una ciotola a parte setacciate la ricotta Mescolate fino a ottenere una consistenza morbida e fate riposare in frigo per un’oretta Trascorso il tempo recuperate il composto di grano oramai freddo, eliminate le scorze degli agrumi mescolate brevemente. A questo punto se volete potete frullare pochi secondi con un mixer ad immersione, per ottenere un composto dalla consistenza non eccessivamente rustica Recuperate la ciotola con la ricotta e zucchero, unite il miele mescolate e aggiungete il composto di grano, sempre mescolando per far incorporare In un'altra ciotola rompete le uova e il tuorlo, versate l'acqua di fiori di arancio Unite anche il latte grattugiate un po’ di scorza di limone e d’arancia mescolate bene il tutto Unite questo composto alla crema di ricotta e grano in due o tre volte, continuando a mescolare. Ed ecco pronto il ripieno Riprendete la pasta frolla e suddividete in due parti una più grande dell’altra Stendete la parte più grande con un mattarello e il piano leggermente infarinato Dovrete arrivare ad uno spessore di circa 3 mm. Poi arrotolate la pasta sul mattarello.Srotolate su uno stampo svasato per pastiera da 20 cm (non c’è bisogno di ungere e infarinare) Fate aderire bene al fondo e ai bordi, quindi eliminate la pasta frolla in eccesso passando il mattarello sui bordi Trasferite la crema all’interno, sbattete delicatamente il ruoto sul piano per eliminare eventuali bolle d’aria Tirate la parte avanzata di impasto e realizzate 7 striscioline spesse da 1 a 2 cm Ponete le prime 4 arrivando fino ad oltre il bordo della pastiera, in senso trasversale. Poi sopra le altre 3 per creare il reticolo, arrivando sempre al bordo del ruoto. Eliminate quindi gli eccessi di frolla La pastiera a questo punto è pronta per cuocere in forno statico preriscaldato a 180°, per circa 50-55 minuti sul ripiano più basso del fornoSfornate poi la pastiera napoletana "
33,Chiffon cake,Dolci,https://ricette.giallozafferano.it/Chiffon-cake.html,8,"[['Zucchero', '300g'], ['Farina 00', '290g'], ['Acqua', '200g'], ['Olio di semi di girasole', '120g'], ['Uova', '6'], ['Baccello di vaniglia', '1'], ['Scorza di limone', '1'], ['Lievito in polvere per dolci', '1'], ['Cremor tartaro', '8g'], ['Sale fino', '2g'], ['Zucchero a velo', 'q.b.']]","Per preparare la chiffon cake, iniziate a setacciare la farina in una ciotola insieme al lievito Poi aggiungete lo zucchero extrafine Mescolate con un cucchiaio per amalgamarle al meglio. In un'altra ciotola, separate i tuorli dagli albumi di 6 uova grandi del peso di circa 390-400 g in totale, e tenete da parte gli albumi. Aggiungete ai tuorli l’acqua a temperatura ambiente Poi grattugiate la scorza di un limone non trattato Sbattete il composto con le fruste fino ad ottenere una crema omogenea, non ci sarà bisogno di montarlo. Quindi incorporatelo agli ingredienti secchi (farina, zucchero e lievito), versandolo in una volta sola Mescolate accuratamente con una frusta fino ad ottenere un composto omogeneo e cremoso Lasciate per un momento da parte questo impasto e dedicatevi a montare gli albumi. Versateli nella ciotola di una planetaria Una volta che gli albumi saranno ben montati trasferitene una parte nell'impasto tenuto da parte e mescolate rapidamente con una spatola per stemperare il composto. Aggiungete poi gli albumi rimasti un pò alla volta mescolando sempre con una spatola Ora che l’impasto del dolce è pronto, versatelo delicatamente nello stampo per chiffon cake: noi abbiamo utilizzato uno stampo da 22 cm di diametro del fondo, 26 cm di diametro in superficie e 10 cm di altezza (non dovrà essere imburrato e infarinato) cercando di distribuirlo uniformemente Poi infornate la chiffon cake in forno statico preriscaldato a 160° per circa 60 minuti (per forno ventilato a 150° per 45-50 minuti), posizionando il dolce nella parte bassa del forno. Una volta cotto, sfornatelo Quindi capovolgete lo stampo e poggiatelo sugli appositi piedini La vostra chiffon cake è pronta per essere spolverizzata a piacere con zucchero a velo "
34,Tronchetto di Natale (Buche de Noel),Dolci,https://ricette.giallozafferano.it/Tronchetto-di-Natale-Buche-de-Noel.html,10,"[['Farina 00', '100g'], ['Uova', '5'], ['Zucchero', '140g'], ['Miele', '10g'], ['Sale fino', '1pizzico'], ['Baccello di vaniglia', '1'], ['Panna fresca liquida', '300g'], ['Cioccolato fondente', '300g'], ['Cioccolato fondente', '300g'], ['Zucchero a velo', 'q.b.']]","Per preparare il tronchetto di Natale (Buche de Noel) cominciamo dalla pasta biscotto: iniziate dividendo i tuorli dagli albumi. Sbattete con le fruste i tuorli per qualche minuto assieme a 90 g di zucchero a un pizzico di sale, alla vaniglia e al miele finché non diventano chiari e molto spumosi Con le fruste pulitissime montate poi gli albumi a neve assieme al restante zucchero Ora unite i due composti con una spatola senza smontarli Aggiungete la farina setacciandola direttamente in ciotola incorporate delicatamente con movimenti dal basso verso l'alto Stendete l’impasto su un foglio di carta forno, posto su una leccarda da forno delle dimensioni di 45 x 37 cm, livellatelo con una spatola Infornate in forno statico già caldo a 220° per 6-7 minuti, quando è pronta appoggiatela con tutta la carta forno su di un piano. Spolverizzate la superficie della pasta biscotto con dello zucchero semolato, in modo che non si appiccichi, e sigillatela con della pellicola, ripiegandola anche sotto i lati; lasciate raffreddare Nel frattempo passate alla ganache. Sminuzzate il cioccolato Quando la panna sarà calda, spegnete e versate il cioccolato tritato Mescolate con la frusta per scioglierlo completamente Ora iniziate a montare con uno sbattitore elettrico Lavorate la ganache per 10-15 minuti fino a quando sarà ben montata, capirete che è pronta quando il colore diventerà simile al cioccolato al latte e sarà più soda Quando la pasta biscotto sarà fredda togliete la pellicola e staccate delicatamente la carta forno farcitela con circa metà della ganache montata e distribuitela lasciando 2 cm dai bordi Arrotolate la pasta biscotto delicatamente aiutandovi con la pellicola richiudete le estremità e ponete il rotolo a rassodare in frigo per 1 ora circa insieme alla ganache avanzata Intanto occupatevi della decorazione. Per lasciatelo fondere misurando la temperatura del cioccolato con un termometro da pasticceria, non appena il cioccolato è sciolto e avrà raggiunto la temperatura di 45° trasferite subito in una ciotola e unite i restanti 100g di cioccolato sminuzzato Mescolate finché non si sarà completamente amalgamato: misurate ancora la temperatura che dovrà raggiungere i 29°-31° Trasferite il cioccolato su un foglio di carta forno Successivamente potrete tagliarla a strisce con un coltellino liscio e poi a quadratini Riprendete il rotolo farcito, rifilate i bordi tagliando le due estremità (potete consumarle come ricca merenda oppure posizionarle ai lati, come abbiamo fatto nel tronchetto di Natale innevato) Spalmate la ganache avanzata Per finire adagiate le sfogliette una vicina all’altra Una nevicata di zucchero a velo e il vostro tronchetto di Natale (Buche de Noel) è pronto per essere gustato "
35,Panna cotta,Dolci,https://ricette.giallozafferano.it/Panna-cotta.html,4,"[['Panna fresca liquida', '500g'], ['Baccello di vaniglia', '1'], ['Zucchero', '80g'], ['Gelatina in fogli', '8g']]","Per preparare la panna cotta, per prima cosa mettete a mollo i fogli di gelatina in acqua fredda per 10-15 minuti Incidete il baccello di vaniglia nel senso della lunghezza ed estraete i semini con la punta di un coltello Mettete in un pentolino la panna e versate lo zucchero Aromatizzate con i semi Scaldate a fuoco basso il tutto e quando la panna sfiorerà il bollore, spegnete il fuoco e rimuovete il baccello Quando la gelatina sarà ammorbidita, scolatela senza strizzare eccessivamente immergetela nel pentolino con la panna calda Mescolate fin quando la gelatina non si sarà sciolta completamente; non ci devono essere grumi. A questo riempite 4 stampini della capacità di 150 ml l'uno aiutandovi con un mestolo Una volta riempiti gli stampini Decorate a piacere prima di servire "
36,Cotechino con lenticchie,Secondi piatti,https://ricette.giallozafferano.it/Cotechino-con-lenticchie.html,4,"[['Cotechino precotto', '300g'], ['Lenticchie secche', '300g'], ['Sedano', '1'], ['Carote', '1'], ['Cipolle bianche', '1'], [""Olio extravergine d'oliva"", '35g'], ['Alloro', '3'], ['Rosmarino', '2'], ['Brodo vegetale', '500g'], ['Sale fino', 'q.b.'], ['Pepe nero', 'q.b.']]","Per realizzare il cotechino con le lenticchie per prima cosa ponete in ammollo le lenticchie in acqua fredda per 2 ore Trascorso questo tempo scolatele e sciacquatele sotto l’acqua corrente Nel frattempo cuocete il cotechino seguendo le istruzioni riportate sulla confezione, nel nostro caso andava immerso in acqua fredda e fatto cuocere per circa 20 minuti dal momento dell'ebollizione Ora occupatevi del soffritto: pelate le carote e riducetele a un trito tagliandole prima striscioline e poi a cubetti Fate lo stesso con il sedano poi mondate e tritate anche la cipolla In un tegame versate l’olio di oliva pepate salate e aromatizzate con i rametti di rosmarino e foglie alloro legati insieme con lo spago in questo modo riuscirete a togliere le erbe più facilmente a cottura ultimata. Coprite le lenticchie con il A fine cottura eliminate il mazzetto di aromi Intanto il cotechino sarà giunto a cottura, scolatelo, scartatelo e trasferitelo su un tagliere facendo attenzione a non scottarvi. Spellatelo Servite il piatto di cotechino con le lenticchie ben caldo "
37,Torta della nonna,Dolci,https://ricette.giallozafferano.it/Torta-della-nonna.html,10,"[['Farina 00', '450g'], ['Burro', '200g'], ['Zucchero', '160g'], ['Uova', '2'], ['Scorza di limone', '1'], ['Latte intero', '500g'], ['Zucchero', '100g'], ['Farina 00', '50g'], ['Tuorli', '4'], ['Scorza di limone', '1'], ['Pinoli', '25g'], ['Albumi', 'q.b.'], ['Zucchero a velo', 'q.b.']]","Per realizzare la torta della nonna, per prima cosa preparate la crema pasticcera: in un pentolino versate i tuorli e lo zucchero mescolate con la spatola e poi unite la farina Mescolate ancora fino ad ottenere un composto liscio e denso Versate il latte in un altro pentolino, aromatizzate con la scorza di limone grattugiata poi aggiungetelo tutto e mescolate ancora. Trasferite il pentolino sul fuoco e fate addensare la crema a fuoco moderato girando continuamente fino a quando non sarà densa e cremosa.Trasferite la crema in una ciotola Nel frattempo preparate la frolla: in un mixer mettete la farina e il burro freddo di frigo tagliato a pezzi poi azionate le lame per pochi istanti per ottenere la sabbiatura. Se non avete il mixer potete ""pizzicare"" il burro con la punta delle dita per amalgamarlo bene alla farina. Trasferite il composto sabbioso su una spianatoia e formate una conca al centro, poi versate lo zucchero Grattugiate la scorza di un limone e date alla frolla la forma di un panetto. Appiattite leggermente il panetto e avvolgetelo nella pellicola trasparente poi riponete in frigorifero a rassodare per almeno 30 minuti.Trascorso il tempo di raffreddamento della frolla, stendete l’impasto sul piano di lavoro leggermente infarinato fino a uno spessore di 2-3 mm poi arrotolate la frolla sul mattarello e adagiatela delicatamente all’interno dello stampo Premete con le dita per far aderire bene l’impasto sulla base e sui bordi, poi eliminate l’eccesso Bucherellate la base con i rebbi di una forchetta Impastate nuovamente gli avanzi di frolla e stendete l’impasto sempre a uno spessore di 2-3 mm, poi arrotolate il disco di frolla sul mattarello e srotolatelo sullo stampo per coprire la crema Premete i bordi con le dita per sigillare Spennellate la superficie con poco albume poi cospargete con i pinoli Siete pronti per infornare la torta della nonna Spolverizzate con zucchero a velo e servite la vostra deliziosa torta della nonna "
38,Pandoro,Lievitati,https://ricette.giallozafferano.it/Pandoro.html,8,"[['Farina 00', '35060g'], ['Acqua', '30g'], ['Lievito di birra fresco', '3g'], ['Biga', '90g'], ['Farina 00', '350150g'], ['Zucchero', '45g'], ['Uova', '110g'], ['Lievito di birra fresco', '5g'], ['Miele di acacia', '30g'], ['Baccello di vaniglia', '2'], ['Scorza di limone', '1'], [""Scorza d'arancia"", '1'], ['Farina 00', '350230g'], ['Zucchero', '125g'], ['Acqua', '50g'], ['Uova', '110g'], ['Tuorli', '30g'], ['Burro', '150g'], ['Sale fino', '5g'], ['Burro', 'q.b.'], ['Farina 00', 'q.b.'], ['Zucchero a velo', 'q.b.']]","Per preparare il pandoro fatto in casa, iniziate dalla biga. In una ciotola versate la farina, l’acqua Mescolate con un cucchiaio Lavorate gli ingredienti velocemente con una forchetta o con le mani senza impastare, per ottenere un composto grossolano e non omogeneo. Coprite il composto con pellicola Passate al 1° impasto. Versate la biga nella ciotola di una planetaria dotata di gancio Aggiungete la farina Unite anche il lievito di birra sbiciolato Azionate la planetaria e lasciate lavorare per circa 10 minuti sino ad ottenere un impasto liscio e ben incordato Trasferite l’impasto su un piano date un paio di pieghe e pirlatelo in modo da ottenere una forma sferica poi trasferitelo in una ciotola ampia e alta. Coprite con pellicola Nel frattempo versate in una ciotola il miele di acacia, la scorza grattugiata di limone la scorza grattugiata d'arancia Mescolate bene Conservate a temperatura ambiente sino all'utilizzo. Consigliamo di prepararlo il giorno prima per un aroma maggiore. Trascorso il tempo di maturazione, estraete l'impasto dal frigorifero e lasciatelo ancora per un'ora a temperatura ambiente coperto con pellicola Trascorso questo tempo potete procedere con il 2° impasto. Versate la farina e lo zucchero nella ciotola della planetaria, sempre dotata di gancio Aggiungete l'acqua e il 1° impasto Azionate la planetaria a velocità moderata.Nel frattempo sbattete insieme uova e tuorli, entrambi a temperatura ambiente Quando l'acqua sarà completamente assorbita unitele all'impasto poco per volta Dopo qualche minuto aggiungete il sale Quando le uova sanno ben assorbite aggiungete anche il miele aromatizzato Continuate a lavorare l'impasto a velocità medio-bassa sino a che non si sarà incordato. I tempi di questo passaggio possono variare in base a molti fattori. In ogni caso ogni 10 minuti di lavorazione spegnete la macchina e lasciate riposare l'impasto per 5 minuti prima di lavorarlo ancora per evitare che si scaldi troppo. Quando l'impasto sarà ben incordato Aspettate che il primo pezzetto sia ben assorbito prima di aggiungerne ancora. Quando avrete terminato di aggiungere il burro Trascorsi i 10 minuti azionate la planetaria ancora per pochi secondi. Ora inumiditevi le mani e trasferite l'impasto su un piano leggermente imburrato Realizzate un paio di pieghe Lasciate riposare l'impasto per 5 minuti sul piano senza coprirlo Date ancora due giri di pieghe di rinforzo, come appena fatto, a distanza di 10 minuti l'uno dall'altro Utilizzando un tarocco rigido pirlate l'impasto Dopo aver adagiato l'impasto nello stampo Lasciate lievitare a temperatura ambiente per 4-6 ore sino a che l'impasto non avrà raggiunto il bordo dello stampo Cuocete il pandoro in forno statico preriscaldato a 170° per 55-60 minuti sino a doratura della superficie. Per essere sicuri della cottura potete controllare con un termometro da cucina la temperatura al cuore del pandoro, dovrà raggiungere i 92° per essere cotto al punto giusto. Una volta cotto, sfornate il pandoro Una volta freddo spolverizzate con zucchero a velo "
39,Pizzoccheri alla valtellinese,Primi piatti,https://ricette.giallozafferano.it/Pizzoccheri-alla-valtellinese.html,4,"[['Farina di grano saraceno', '400g'], ['Farina 0', '100g'], ['Acqua', '285g'], ['Burro', '80g'], ['Formaggio latteria', '180g'], ['Grana Padano DOP', '40g'], ['Patate', '240g'], ['Aglio', '2'], ['Verza', '200g'], ['Sale marino integrale', '60g']]","Per preparare i Pizzoccheri, iniziate versando in una ciotola la farina 0 e quella di grano saraceno nelle dosi indicate mescolate bene le due farine Questo farà si che gli amidi del grano saraceno si amalgamino più facilmente.Iniziate a lavorare gli ingredienti a mano nella ciotola trasferite il tutto su una spianatoia leggermente infarinata con farina di grano saraceno Questa fase di lavoro è determinante: l'impasto va maneggiato con cura per ottenere una consistenza il più possibile elastica. Formate una palla Ora, rifilate i bordi Sovrapponetene 3 strisce una sopra l'altra Mettete da parte i primi pizzoccheri ottenuti, quindi proseguite allo stesso modo anche per il resto dell'impasto I ritagli scartati in precedenza possono essere usati per preparare una deliziosa minestra di patate!Potete iniziare a dedicarvi al condimento. Mettete sul fuoco un tegame con 6 lt di acqua; nel frattempo pulite la verza, sfogliandola (con le foglie più esterne potrete realizzare una minestra), tagliatela a metà, quindi a fette eliminate la parte coriacea Passate dunque alle patate: pelatele e tagliatele a fette spesse, quindi in pezzi piuttosto grandi; sarà sufficiente cercare di realizzare pezzi di grandezza uniforme Inanto affettate sottile il formaggio Latteria (è preferibile utilizzarlo a temperatura ambiente) Passati i due minuti di cottura delle patate, unite le verze con l'aiuto del manico di un mestolo di legno, girateli delicatamente per evitare che si attacchino, quindi aggiungete i restanti sempre lentamente a pioggia. Mescolate ancora qualche istante, quindi mentre i pizzoccheri cuociono (dovranno cuocere circa 4 minuti). Tagliate gli spicchi d'aglio in camicia a metà il burro dovrà fondersi e insaporirsi con l'aglio per non trasferire acqua nel tegame che avete scaldato e create un primo strato sul fondo del tegame Senza mescolare mai in queste fasi, distribuite ora uno strato di formaggio Latteria proseguite con un altro strato di pizzoccheri; ripetete ancora il passaggio del formaggio Latteria e proseguite fino a terminare con l'ultimo strato di pizzoccheri e formaggio. Insaporite con il Grana grattugiato e a questo punto procedete come alla maniera delle nonne valtellinesi: poggiate il tegame con i pizzoccheri sopra quello con l'acqua di cottura ancora caldo, proprio per conservare il calore Coprite con un canovaccio noterete che il formaggio si è già sciolto;togliete gli spicchi di aglio "
40,Gateau di patate,Piatti Unici,https://ricette.giallozafferano.it/Gateau-di-patate.html,6,"[['Patate', '500g'], ['Fiordilatte', '100g'], ['Salame napoletano', '50g'], ['Prosciutto cotto', '50g'], ['Parmigiano Reggiano DOP', '2'], ['Uova', '2'], [""Olio extravergine d'oliva"", 'q.b.'], ['Pepe nero', 'q.b.'], ['Sale fino', 'q.b.'], [""Olio extravergine d'oliva"", 'q.b.'], ['Pangrattato', '20g'], ['Parmigiano Reggiano DOP', '30g']]","Per preparare il gateau di patate cominciate lessando queste ultime. Per farlo sciacquatele e versatele in una pentola capiente coprendo con abbondante acqua fredda Trasferite la pentola sul fuoco e, non appena l’acqua sarà in ebollizione, contate circa 30-40 minuti, a seconda della grandezza delle patate. Fate la prova forchetta Infine schiacciatele subito in un recipiente: le patate quando sono calde si disfano con più semplicità  e non presenteranno grumi Nel frattempo tagliate la mozzarella a cubetti Potete in alternativa strizzarla aiutandovi con un canovaccio pulito.Tagliate il salame tipo Napoli a cubetti di circa 1 cm fate lo stesso anche con la fetta di prosciutto cotto A questo punto riprendete le patate appena schiacciate e aggiungete le uova una spolverata di pepe il sale, un filo d'olio Mescolate gli ingredienti (13-14), e quando il composto sarà ben amalgamato potete unire il prosciutto e il salame tipo Napoli a cubetti poi versate nella ciotola anche la mozzarella scolata A questo punto oliate una pirofila quadrata 20x20 cm e spolverizzate con il pangrattato Muovete la teglia per assicurarvi che il pan grattato si distribuisca su tutta la superficie Poi versate il composto aiutandovi con una spatola per livellarlo Spolverizzate la superficie con il pangrattato e il Parmigiano condite ancora con un filo d'olio "
41,Spaghetti Cacio e Pepe,Primi piatti,https://ricette.giallozafferano.it/Spaghetti-Cacio-e-Pepe.html,4,"[['Spaghetti', '320g'], ['Pepe nero', 'q.b.'], ['Pecorino romano', '200g'], ['Sale fino', 'q.b.']]","Per preparare gli spaghetti cacio e pepe, come prima cosa occupatevi di grattugiare 200 g di Pecorino. Proseguite mettendo a bollire l'acqua in un tegame (mettetene circa la metà di quanto ne usate di solito per cuocere la pasta, così sarà più ricca di amido) e quando bollirà potete salare a piacere. Una volta salata, potete cuocere gli spaghetti Nel frattempo, versate i grani di pepe interi su un tagliere quindi schiacciateli pestando con un pestello per carne o un macinino In questo modo si sprigionerà maggiormente il profumo pungente del pepe.Versate metà dose di pepe schiacciato in una padella ampia antiaderente tostatelo a fuoco dolce mescolando con una paletta di legno poi sfumate con paio di mestoli di acqua di cottura della pasta Le bollicine che vedrete comparire saranno dovute all'amido contenuto nell'acqua. Scolate quindi gli spaghetti quando saranno molto al dente (tenendo da parte l'acqua di cottura) e versateli direttamente nella padella con il pepe tostato Smuovete la pasta continuamente con delle pinze da cucina per farla ""respirare"" Continuate a versare un mestolo di acqua solo al bisogno (quando vedete che la padella è quasi completamente asciutta) e a rimestare con le pinze da cucina. Nel frattempo che la pasta arriva a cottura, occupatevi della crema al Pecorino (non iniziate prima questa operazione perchè la crema si rapprenderebbe troppo): versatene circa metà dose di Pecorino grattugiato in una ciotola Aggiungete un mestolo di acqua di cottura della pasta sul Pecorino grattugiato Mescolate con una frusta Unite ancora un po' di acqua al bisogno: in questa fase dovrete calibrare bene dose di Pecorino e acqua per ottenere una cremina della giusta consistenzae senza grumi.Terminate la cottura della pasta, aggiungendo poca acqua calda ancora se necessario; prima di unire la crema di Pecorino, mescolate brevemente la crema ponendo la ciotola sopra il vapore del tegame con acqua calda, mescolate sempre con la frusta così da riportare la crema ad una temperatura simile a quella della pasta se necessario Spegnete il fuoco della padella con gli spaghetti e versate la crema di Pecorino Mentre versate la crema di Pecorino sugli spaghetti, muoveteli continuamente con la pinza da cucina versate anche il Pecorino che avevate tenuto da parte mescolate e saltate ancora la pasta quindi impiattate i vostri spaghetti cacio e pepe e insaporite con il restante pepe, gustate subito in tutta la loro cremosità "
42,Parmigiana di melanzane,Secondi piatti,https://ricette.giallozafferano.it/Parmigiana-di-melanzane.html,8,"[['Melanzane ovali nere', '7kg'], ['Passata di pomodoro', '1kg'], ['Fiordilatte', '500g'], ['Parmigiano Reggiano DOP', '150g'], ['Cipolle dorate', '1'], ['Basilico', 'q.b.'], [""Olio extravergine d'oliva"", 'q.b.'], ['Pepe nero', 'q.b.'], ['Sale fino', 'q.b.'], ['Olio di semi di arachide', 'q.b.']]","Per preparare la parmigiana di melanzane cominciate dal sugo. Pulite e tritate la cipolla versatela in un tegame dove avrete scaldato l'olio (che copra il fondo). Lasciatela rosolare per un paio di minuti mescolando spesso per non farla bruciare, poi unite la passata di pomodoro Regolate di sale e versate le foglie di basilico sciacquate il recipiente con poca acqua e versatela in pentola quindi lasciate cuocere a fuoco dolce per 45-50 minuti Nel frattempo tagliate a cubetti il fiordilatte tenendone da parte un pezzo che servirà alla fine Mettete a scolare i cubetti in uno scolapasta messo in una ciotola coprite con pellicola e mettete da parte: questo procedimento serve a far colare il siero in eccesso A questo punto passate alle melanzane, pulitele e spuntatele Affettate per il senso della lunghezza ottenendo delle fette spesse di 4-5 mm Quando avrete finito friggete le melanzane in olio già caldo 170° immergendo pochi pezzi alla volta non appena saranno leggermente dorate scolate su vassoio con carta assorbente Quando sul vassoio sarà finito lo spazio mettete altra carta assorbente In ultimo passate alla composizione, iniziate versando un po’ di sugo in una pirofila da 20x30 cm Formate il primo strato disponendo le fette di melanzane versate il sugo di pomodoro spalmatelo e distribuite dei cubetti di fiordilatte Spolverizzate con il Parmigiano grattugiato Ricominciate aggiungendo il sugo di pomodoro E poi ancora i formaggi Finite con il Parmigiano grattugiato Trascorso il tempo di cottura lasciate riposare per 15-20 minuti prima di servire la vostra parmigiana di melanzane "
43,Insalata tiepida di polpo e patate,Secondi piatti,https://ricette.giallozafferano.it/Insalata-tiepida-di-polpo-e-patate.html,4,"[['Polpo', '1kg'], ['Patate', '1kg'], ['Alloro', '2'], ['Prezzemolo', '1'], ['Pepe nero', 'q.b.'], [""Olio extravergine d'oliva"", '60g'], ['Sale fino', 'q.b.'], ['Succo di limone', '60g']]","Per preparare l’insalata tiepida di polpo e patate, potete iniziare dalle patate: ponete sul fuoco un tegame ampio colmo di acqua fredda e immergete all'interno le patate, ben lavate in precedenza, con la buccia sciacquatelo quindi molto bene sotto l’acqua corrente (Se usate un polpo fresco consigliamo di batterlo con un martelletto per frollare le carni, quindi renderle più tenere; in alternativa o successivamente alla battitura potete decidere di congelarlo per un paio di giorni).  In un altro tegame, versate abbondante acqua, aggiungete le foglie di alloro Ripetete questa operazione 2-3 volte o fino a quando i tentacoli non risulteranno ben arricciati Dopodiché immergete nell’acqua l’intero polpo, coprite con il coperchio e riducetele a dadini di 2-3 cm Tenetele da parte in caldo. Preparate la citronette: in un biberon da cucina versate il succo di limone spremuto aggiungete l'olio d'oliva salate, pepate quindi agitate la bottiglietta per miscelare Lavate e tritate finemente il prezzemolo Non appena sarà pronto anche il polpo, scolatelo e staccate i tentacoli dal corpo centrale poi tagliate tutto a pezzetti di circa 2-3 cm Versate il polpo in una ciotola capiente, unite anche i cubetti di patate intiepiditi condite l'insalata con la citronette aromatizzate con il prezzemolo tritato L'insalata tiepida di polpo è pronta per essere portata in tavola "
44,Risotto allo Zafferano,Primi piatti,https://ricette.giallozafferano.it/Risotto-allo-Zafferano.html,4,"[['Zafferano in pistilli', '1cucchiaino'], ['Riso Carnaroli', '320g'], ['Burro', '125g'], ['Cipolle', '1'], ['Grana Padano DOP', '80g'], ['Vino bianco', '40g'], ['Acqua', 'q.b.'], ['Brodo vegetale', '1l'], ['Sale fino', 'q.b.'], ['Zafferano in pistilli', 'q.b.']]","Per realizzare il risotto allo zafferano ( o risotto alla milanese), per prima cosa mettete i pistilli in un bicchierino, versate sopra dell’acqua per la ricetta ne occorrerà un litro. Mondate e tritate finemente la cipolla In un tegame ampio versate 50g di burro presi dalla dose totale necessaria scioglietelo a fuoco dolce, quindi versate il trito di cipolla Una volta stufata la cipolla, versate il riso Cinque minuti prima del termine di cottura, versate l’acqua con i pistilli di zafferano che avevate messo in infusione mescolate per insaporire e tingere il risotto di un bel color oro. Terminata la cottura spegnete il fuoco, salate mantecate con il formaggio grattugiato e i restanti 75 g di burro mescolate e coprite co il coperchio servitelo ben caldo guarnendo il piatto ancora con qualche pistillo "
45,Banana bread,Dolci,https://ricette.giallozafferano.it/Banana-bread.html,6,"[['Banane', '450g'], ['Farina 00', '200g'], ['Burro', '120g'], ['Zucchero', '120g'], ['Uova', '2'], ['Cannella in polvere', '½'], ['Lievito in polvere per dolci', '6g'], ['Bicarbonato', '3g'], ['Succo di limone', 'q.b.'], ['Sale fino', '1pizzico']]","Per preparare il banana bread iniziate sbucciando le banane Versatele in una ciotola e irrorate con il succo di limone per evitare che anneriscano Schiacciatele con una forchetta Lavorate con le fruste elettriche e quando avrete ottenuto un composto omogeneo aggiungete le uova, possibilmente una alla volta per incorporarle meglio Unite un pizzico di sale poi versate la purea di banane Mescolate con una marisa Aromatizzate con la cannella Versate l'impasto nello stampo da plumcake delle dimensioni di 22,5x8,5 cm e livellatelo Cuocete in forno statico preriscaldato a 180° per circa 60 minuti. Fate la prova dello stecchino a fine cottura, poi sfornate il vostro banana bread "
